time_sec,value
1,147.0
2,147.0
3,146.0
4,146.0
5,146.0
6,146.0
7,147.0
8,147.0
9,145.0
10,142.35402455661665
11,141.0558638189246
12,140.17909785904794
13,139.964897118939
14,139.871101041739
15,139.86124718962822
16,139.92990828723185
17,139.90838854659043
18,140.06103188013282
19,140.128818627478
20,139.67195121318036
21,139.58420255694477
22,139.7850776157464
23,139.78125857952125
24,139.7552856712473
25,139.8636614932941
26,139.5611052480848
27,139.24272699545224
28,139.4896380913229
29,139.88257119677004
30,139.9707336076246
31,140.11449053881964
32,139.96417929551637
33,139.75709589146814
34,139.95486974903798
35,139.65472517142837
36,139.71046750669854
37,140.13714065806005
38,140.71098388513423
39,141.9069423929099
40,144.0
41,144.0
42,144.0
43,142.0
44,133.0
45,133.0
49,159.0
50,159.0
51,164.0
52,164.0
53,162.0
54,158.0
55,154.0
56,155.0
57,156.0
58,153.0
59,152.0
60,151.0
61,149.0
62,148.0
63,147.0
64,144.0
65,144.0
66,144.0
67,146.0
68,145.0
69,144.0
70,144.0
71,142.0
72,142.0
73,142.0
74,142.0
75,144.0
76,144.0
77,142.0
78,143.0
79,142.0
80,142.0
81,141.0
82,139.0
83,139.0
84,138.0
85,138.0
86,139.0
87,139.0
88,139.0
89,141.0
90,140.0
91,141.0
92,141.0
