time_sec,value
1,36.0
2,6.0
3,5.0
4,3.0
5,3.0
6,3.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,1.0
13,1.0
14,1.0
15,4.0
16,6.0
17,6.0
18,6.0
19,6.0
20,6.0
21,6.0
22,6.0
23,6.0
24,6.0
25,6.0
26,6.0
27,6.0
28,6.0
29,6.0
30,5.0
31,5.0
32,5.0
33,5.0
34,5.0
35,5.0
36,4.0
37,4.0
38,4.0
39,3.0
40,3.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,9.1686626746507
57,13.318672590025134
58,15.47968731019695
59,14.955928926416304
60,14.382640722200955
61,14.203550205078582
62,14.096290641844591
63,13.945176860810978
64,13.89576150017293
65,13.750640542129863
66,13.662023624855546
67,13.755117427675998
68,14.005445037106206
69,13.927940886226285
70,13.843159155635188
71,14.031947028367044
72,13.916882605092614
73,13.92104999819848
74,13.780384401559695
75,13.752780853262118
76,13.80545025569089
77,13.891063507126264
78,13.9737617527055
79,14.296898147509918
80,14.32294208333684
81,14.160666546805404
82,13.916986543980638
83,13.8903114538085
84,13.980538948728936
85,14.24654187579816
86,14.38163552108492
87,14.432810643104736
88,14.228707606262386
89,14.16523099611365
90,14.09758028678922
91,14.186994368746722
92,14.396187922049418
93,14.327097519743573
94,14.285430596569032
95,14.348361281198189
96,14.254251814976318
97,14.065645261728442
98,14.09733875989648
99,14.138324733428092
100,14.299430978021466
101,14.598321760787735
102,14.644169636961294
103,14.418943457224104
104,14.743279557793546
105,14.852564449996065
106,14.94564842218113
107,15.013677986618736
108,14.871703858174232
109,14.834108302235265
110,14.6024474095446
111,14.518011503854868
112,14.494597144176964
113,14.914981498917747
114,15.624514304062728
115,15.973184662738005
116,15.500819973645424
117,14.912235712963792
118,14.505233770037888
119,14.258353022686247
120,14.28534982910013
121,14.315932918316545
122,14.311299792491608
123,14.556806509489563
124,14.592728058115569
125,14.566886417117487
126,14.646992826879352
127,14.623232683102596
128,14.76752628526612
129,14.835961995405526
130,14.753222315450856
131,14.70482612893464
132,14.530933972878536
133,14.695286704553869
134,14.666079106466878
135,14.616372886566772
136,14.6335681226727
137,14.664249196816648
138,14.583726041816853
139,14.626111881365276
140,14.768059544446974
141,14.989220452699916
142,15.05589231604622
143,14.91612827481804
144,14.305052046821816
145,14.334632395530427
146,14.312967326775142
147,14.319661590819656
148,14.534293702740229
149,14.72887293467754
150,14.67133069808436
151,14.805896690286373
152,14.672073023165332
153,14.664446969266445
154,14.604284015871016
155,14.93741707441364
156,15.31372303771617
157,15.564483112469375
158,15.624258127010313
159,15.187515889379734
160,15.382411852560203
161,15.466795479017463
162,15.564053701204324
163,15.591434772712764
164,15.7263864193154
165,15.246633524085343
166,14.952432202435665
167,15.061652649986776
168,15.172969667646733
169,15.352744007987862
170,15.647394578117217
171,16.10542745410677
172,15.566305145180367
173,14.83741578235158
174,14.836299268317616
175,15.121478479310396
176,14.926562827041844
177,14.922244842516529
178,14.920250712305783
179,14.90422501416381
180,14.66373896178418
181,14.649447620538057
182,14.750449171606276
183,14.7786364778989
184,14.92135478853161
185,14.879073213426857
186,14.85609807466393
187,14.927132397050991
188,15.01120365384698
189,14.90848325706105
190,14.793373047697418
191,14.931511438355123
192,15.049737418900552
193,14.92050804813321
194,14.95448895418009
195,14.965137328650034
196,14.82736477117907
197,14.706794174315052
198,14.713948060860323
199,14.778805212629738
200,14.898351166000218
201,15.124765885571865
202,15.156674628286584
203,15.412289185901791
204,15.721006943232158
205,15.596278859241083
206,15.365016786704793
207,15.357809400436611
208,15.349809977343812
209,15.040045845428365
210,14.777508665026463
211,14.732673007708602
212,14.722645285490197
213,14.458182091200978
214,14.308305574343349
215,13.972969367098244
216,13.404345813842504
217,12.650796890842903
218,10.662435165730338
219,7.0
220,7.0
221,6.0
222,5.0
223,5.0
224,5.0
225,5.0
226,5.0
230,6.0
231,6.0
232,6.0
233,6.0
234,6.0
235,6.0
236,6.0
237,6.0
238,6.0
239,6.0
240,6.0
241,6.0
242,6.0
243,6.0
244,6.0
245,6.0
246,6.0
247,6.0
248,6.0
249,6.0
250,6.0
251,6.0
252,7.0
253,7.0
254,7.0
255,7.0
256,7.0
257,7.0
258,7.0
259,7.0
260,7.0
261,7.0
262,7.0
263,7.0
264,7.0
265,7.0
