time_sec,value
1,51.0
2,23.0
3,22.0
4,23.0
5,23.0
6,23.0
7,23.0
8,23.0
9,23.0
10,22.0
11,22.0
12,23.0
13,23.0
14,22.0
15,23.0
16,23.0
17,23.0
18,22.0
19,21.0
20,18.0
21,16.0
22,15.0
23,14.0
24,14.0
25,14.0
26,14.0
27,14.0
28,13.0
29,13.0
30,13.0
31,13.0
32,13.0
33,13.0
34,13.0
35,13.0
36,13.0
37,13.0
38,13.0
39,13.0
40,13.0
41,13.0
42,13.0
43,13.0
44,13.0
45,13.0
46,13.0
47,13.0
48,13.0
49,13.0
50,13.0
51,12.0
52,11.0
53,11.0
54,11.0
55,12.0
56,12.0
57,14.734341252699783
58,16.187521641534275
59,15.309846092084967
60,14.55959930503529
61,14.292029496495749
62,14.140530287553176
63,13.967296683665271
64,13.906821411600076
65,13.756170497843438
66,13.664788602712331
67,13.756499916604392
68,14.006136281570402
69,13.92828650845838
70,13.843331966751236
71,14.032033433925069
72,13.916925807871626
73,13.921071599587988
74,13.78039520225445
75,13.752786253609496
76,13.805452955864578
77,13.89106485721311
78,13.97376242774892
79,14.296898485031626
80,14.322942252097691
81,14.160666631185832
82,13.91698658617085
83,13.890311474903609
84,13.98053895927649
85,14.246541881071938
86,14.381635523721808
87,14.43281064442318
88,14.22870760692161
89,14.16523099644326
90,14.097580286954024
91,14.186994368829126
92,14.396187922090618
93,14.327097519764171
94,14.285430596579332
95,14.348361281203337
96,14.254251814978891
97,14.06564526172973
98,14.097338759897124
99,14.138324733428416
100,14.299430978021627
101,14.59832176078782
102,14.644169636961337
103,14.418943457224124
104,14.743279557793556
105,14.852564449996068
106,14.945648422181131
107,15.013677986618736
108,14.871703858174232
109,14.834108302235265
110,14.6024474095446
111,14.518011503854868
112,14.494597144176964
113,14.914981498917747
114,15.624514304062728
115,15.973184662738005
116,15.500819973645424
117,14.912235712963792
118,14.505233770037888
119,14.258353022686247
120,14.28534982910013
121,14.429028202253054
122,14.511540396973151
123,14.716414127279638
124,14.630515028071752
125,14.63238044940193
126,14.723716122684456
127,14.720333008727692
128,14.841193478129544
129,14.770567068829443
130,14.636736432113953
131,14.602990228731723
132,14.549550515045022
133,14.742059213267613
134,14.62447899030602
135,14.61208647223215
136,14.657506277797632
137,14.664249196816638
138,14.58372604181683
139,14.626111881365228
140,14.768059544446876
141,14.989220452699724
142,15.055892316045831
143,14.91612827481726
144,14.30505204682026
145,14.334632395527311
146,14.312967326768906
147,14.319661590807184
148,14.534293702715289
149,14.728872934627654
150,14.67133069798459
151,14.80589669008683
152,14.672073022766252
153,14.664446968468289
154,14.604284014274704
155,14.93741707122102
156,15.31372303133093
157,15.564483099698895
158,15.624258101469357
159,15.187515838297823
160,15.38241175039638
161,15.466795274689815
162,15.564053292549032
163,15.59143395540218
164,15.726384784694238
165,15.246630254843025
166,14.952425663951018
167,15.061639573017487
168,15.172943513708155
169,15.352691700110707
170,15.647289962362905
171,16.105218222598147
172,15.565886682163114
173,14.836578856317075
174,14.83462541624861
175,15.11813077517238
176,14.919867418765808
177,14.908854025964452
178,14.89346907920163
179,14.850661747955495
180,14.556612429367556
181,14.435194555704808
182,14.32194304193978
183,13.921624218565908
184,13.207330269865627
185,11.45102417609489
186,8.0
187,8.0
189,8.0
