time_sec,value
1,122.0
2,121.0
3,122.0
4,124.0
5,123.0
6,122.0
7,121.0
8,120.0
9,120.0
10,133.78570816871166
11,140.17014022004906
12,143.57081287439237
13,145.68830498792082
14,146.80444661160746
15,147.18328839456117
16,147.38406843970483
17,147.87896710857646
18,148.0147047932263
19,148.2913030138971
20,148.19534094794233
21,147.88554926184997
22,147.83166351981384
23,147.9286984246128
24,147.90996854765382
25,147.5860818348025
26,147.41584793494513
27,147.5696886733549
28,148.02358307541618
29,148.1367915377081
30,148.36421037842194
31,148.3568039843917
32,148.6211264504002
33,148.8078579163316
34,148.52075138807237
35,148.57287569403618
36,148.50649772725762
37,148.25624287560487
38,148.15572879976563
39,148.47637186256938
40,148.80595701562203
41,148.71126071639998
42,148.54816767163285
43,148.1149929267255
44,148.0818867072652
45,148.2909433536326
46,148.62054955843624
47,148.2807140098683
48,147.8736903382675
49,147.94376829753253
50,148.1492541793473
51,148.68796687062604
52,148.94367190883327
53,148.51451888124592
54,148.21725944062297
55,148.2471647521586
56,148.91311302249676
57,150.0770040699732
58,150.3179633144479
59,149.6084930578754
60,148.96418441713644
61,148.6467075931836
62,148.60079282098206
63,148.88241533793584
64,148.85912780270652
65,148.918660474562
66,149.0950132559726
67,148.75958093139187
68,148.10456110789778
69,147.54922244997334
70,147.62904160473352
71,147.8881885139655
72,147.76133689417787
73,147.8026867957128
74,147.63270985748372
75,147.6058737044428
76,147.85548462292203
77,147.39933497127114
78,147.60369225343743
79,147.70206250252517
80,147.90321296818564
81,147.85258763574447
82,147.92028781186622
83,147.6345266219825
84,147.24093932345232
85,147.36655116642834
86,147.26907574835178
87,147.02511538177467
88,146.7664276599276
89,147.05142370650702
90,147.41494262248426
91,147.55362515739597
92,147.75591705630993
93,148.13405608913058
94,148.8089635284363
95,148.60294330267968
96,148.2250054569778
97,147.6810081551356
98,148.12964145775948
99,147.9137303862006
100,147.53893206240122
101,147.92342944583476
102,147.8959654874434
103,147.19575722443386
104,147.6058921571785
105,148.5388871180953
106,147.95713931555565
107,147.33795464357237
108,147.41147159717508
109,147.18850210673685
110,147.51810850795226
111,148.03621701590455
112,148.39941815879322
113,148.84899305739836
114,149.05696047377108
115,148.2002996850837
116,147.76953140900235
117,147.25381691636534
118,147.12035520733386
119,147.23508922657993
120,147.0545158025575
121,146.7707526733642
122,146.94211696752348
123,147.20967233187235
124,146.84339529665613
125,146.75358638014615
126,146.73891879203836
127,146.81985712805067
128,147.0416129902786
129,147.12072598055718
130,147.03711759578928
131,146.9068534423431
132,146.86204525326627
133,146.38972518145516
134,146.43024401370394
135,146.17895936498746
136,146.36097683395047
137,146.53597805814482
138,146.3072502339367
139,146.49648804551316
140,146.74376473455948
141,147.09001394116862
142,147.17684316896143
143,147.03691615158755
144,147.0582073031751
145,146.8058021810255
146,146.61791351031604
147,146.30589071489962
148,146.59255066056846
149,146.5838606836369
150,146.57262934273396
151,146.2324860997981
152,146.45574143036546
153,146.93900579651074
154,146.96578588769233
155,147.05397913490123
156,147.42585950437038
157,147.32495784923157
158,147.22267111641975
159,146.7718031062963
160,146.694549608819
161,146.86897537862865
162,147.06516696295353
163,146.87802760603125
164,146.68175180648973
165,146.59280297603675
166,147.21124697771455
167,147.38174160433192
168,147.5308548098723
169,147.71201636821084
170,147.66079286103226
171,148.2663909168697
172,147.65318317153205
173,147.1572138006912
174,147.1598272280491
175,147.3292698407136
176,147.27034092366324
177,147.111871903054
178,147.50434082103342
179,147.62758408109124
180,147.40183059161188
181,147.2868416113583
182,147.19563444222882
183,147.38223273987933
184,147.64541786071106
185,147.62521072142215
186,147.66146438762962
187,147.91269368764594
188,147.97297047350617
189,147.7350737886272
190,147.27630142340826
191,146.52473906972676
192,145.5870570413523
193,144.1741140827046
194,141.2962403978251
195,134.8136645962733
196,122.0
197,123.0
198,124.0
199,123.0
200,122.0
201,121.0
202,122.0
203,122.0
204,122.0
205,126.0
206,128.0
207,123.0
208,123.0
209,123.0
210,123.0
213,122.0
214,122.0
215,123.0
216,122.0
217,122.0
218,122.0
219,122.0
